bldg_code;vulnerability;sc_lev;damage_class;settlement_max;tilt_max;esp_h_max
94028BC0300_02;1.0;1.0;1.0;0.00415750860196;0.00062038064273;0.00033100379487
94028BC0255_04;1.0;1.0;1.0;0.000459997758331;9.0824228333e-05;0.000100731726547
94028BD0294_01;1.0;2.0;1.0;0.000679802687744;0.000119228134519;9.21650316856e-05
94028BD0295_01;1.0;2.0;1.0;0.000726056639104;0.000126935863735;9.73638504327e-05
94002AE0084_01;1.0;1.0;1.0;0.00268613928834;0.000189224600332;5.34890529633e-05
94002AE0085_01;1.0;1.0;1.0;0.00353463249895;0.000187913863866;5.12984807114e-05
94002AE0091_01;1.0;1.0;1.0;0.00145945986149;0.000140970192664;6.67387166808e-05
94002AE0100_01;1.0;1.0;1.0;0.00530175393496;0.00020191452585;0.000144597349032
94002AE0101_01;1.0;2.0;1.0;0.00502052651219;0.000198023587707;0.000116779453589
94002AJ0085_02;2.0;3.0;1.0;0.00457993225019;0.00028237475128;8.66249698993e-05
94002AJ0101_01;1.0;2.0;1.0;0.0072209953777;0.000220966130334;0.000177060470338
94002AJ0085_03;2.0;3.0;1.0;0.0056826832986;0.000275491099068;7.78230596598e-05
94002AJ0131_01;1.0;1.0;1.0;0.000603982659229;7.87606232573e-05;6.05950433119e-05
94002AJ0014_01;1.0;2.0;1.0;0.000343198425256;4.65886366305e-05;4.08388875551e-05
