PK;bldg_code;vulnerability;sc_lev;damage_class;settlement_max;tilt_max;esp_h_max
2126368.0;94081DJ0088_01;1.0;1.0;1.0;0.004097821225066702;0.0005794191337979358;0.0003042798839319301
2126368.0;94081DJ0088_02;1.0;1.0;1.0;6.899681137531169e-05;1.6865769797042722e-05;2.636506390742934e-05
2126368.0;94081DJ0090_01;1.0;1.0;1.0;0.016206501436742016;0.0009854442667730553;0.0005384262025554612
2126368.0;94081DJ0092_01;1.0;1.0;2.1;0.018541073651917626;0.0009894119599361275;0.0008019494113067239
2126368.0;94081DJ0122_01;1.0;1.0;1.0;4.211178748450002e-10;1.7610342853985201e-10;5.652446313576715e-10
2126368.0;94081DJ0123_01;1.0;1.0;1.0;0.01393160765367463;0.0010028088570323247;0.0003150564078722935
2126368.0;94081DJ0124_01;1.0;1.0;1.0;1.3322042157741698e-06;4.1440298976535594e-07;9.172039654256065e-07
2126378.0;94081DJ0135_01;1.0;2.0;1.0;1.4269968761613176e-06;4.425627201138937e-07;9.7793421699475e-07
2126378.0;94081DJ0088_01;1.0;1.0;1.0;0.00411668828837257;0.0005798294911228791;0.0003030655335979299
2126378.0;94081DJ0088_02;1.0;1.0;1.0;7.038850423303464e-05;1.7140947673965755e-05;2.6714398631786016e-05
2126378.0;94081DJ0090_01;1.0;1.0;1.0;0.016189863557913867;0.0009816844237768563;0.0005372121983790853
2126378.0;94081DJ0092_01;1.0;1.0;1.0;0.01851161904171669;0.0009851266200116525;0.0007986029249118545
2126378.0;94081DJ0122_01;1.0;1.0;1.0;4.5031138672714447e-10;1.875563414432378e-10;6.003692328935702e-10
2126378.0;94081DJ0123_01;1.0;1.0;1.0;0.013927354080546144;0.0009989578553751392;0.00031378223947289976
2126378.0;94081DJ0124_01;1.0;1.0;1.0;1.3797389879514246e-06;4.275224339619648e-07;9.435609388971837e-07
2126388.0;94081DJ0135_01;1.0;2.0;1.0;1.2334141498893658e-06;3.8820349529413105e-07;8.672107708448246e-07
2126388.0;94081DJ0088_01;1.0;1.0;1.0;0.003997444696119183;0.0005714008125268396;0.00030412700386766786
2126388.0;94081DJ0088_02;1.0;1.0;1.0;6.446051706359268e-05;1.5924033496578255e-05;2.510709745739246e-05
2126388.0;94081DJ0090_01;1.0;1.0;1.0;0.016059290262291363;0.0009841979838481672;0.000535410584278037
2126388.0;94081DJ0092_01;1.0;1.0;2.1;0.018398357246825137;0.0009893651304546355;0.0008016711968161543
2126388.0;94081DJ0122_01;1.0;1.0;1.0;3.4469320408691124e-10;1.4576619211871107e-10;4.715049860782681e-10
2126388.0;94081DJ0123_01;1.0;1.0;1.0;0.013774113366726836;0.0010014223613163064;0.00031482026443487986
2126388.0;94081DJ0124_01;1.0;1.0;1.0;1.1932535318857675e-06;3.7522582646131675e-07;8.372110926459191e-07
2126398.0;94081DJ0135_01;1.0;2.0;1.0;1.0648406419235153e-06;3.399879310147998e-07;7.675294402144195e-07
2126398.0;94081DJ0088_01;1.0;1.0;1.0;0.0038721426291189725;0.0005614628847938147;0.00030418174403418934
2126398.0;94081DJ0088_02;1.0;1.0;1.0;5.8937579522782595e-05;1.4764155649108067e-05;2.3540065747996923e-05
2126398.0;94081DJ0090_01;1.0;1.0;1.0;0.015882899032171764;0.000983537928565086;0.000531888797112075
2126398.0;94081DJ0092_01;1.0;1.0;2.1;0.018228629925977378;0.0009900955580555903;0.0008019633356863401
2126398.0;94081DJ0122_01;1.0;1.0;1.0;2.63965214695387e-10;1.1329230155318487e-10;3.701829289428648e-10
2126398.0;94081DJ0123_01;1.0;1.0;1.0;0.013580917810554467;0.0010005012546929317;0.00031477792663024305
2126398.0;94081DJ0124_01;1.0;1.0;1.0;1.0312418919523179e-06;3.289638937856902e-07;7.417500253665517e-07
2126408.0;94081DJ0135_01;1.0;2.0;1.0;9.102127467651826e-07;2.950867416198945e-07;6.735959143325567e-07
2126408.0;94081DJ0088_01;1.0;1.0;1.0;0.003747433693501706;0.0005516805086654945;0.0003044814207107667
2126408.0;94081DJ0088_02;1.0;1.0;1.0;5.3599488966814026e-05;1.3627588848675942e-05;2.1985623284014936e-05
2126408.0;94081DJ0090_01;1.0;1.0;1.0;0.01571931345465671;0.0009842160692758199;0.0005288098915156267
2126408.0;94081DJ0092_01;1.0;1.0;2.1;0.018075405175657453;0.000992124508930622;0.0008033511927777736
2126408.0;94081DJ0122_01;1.0;1.0;1.0;1.9822648698057745e-10;8.642860949997103e-11;2.854324485486406e-10
2126408.0;94081DJ0123_01;1.0;1.0;1.0;0.01339642827784111;0.0010009181665657351;0.0003151607526981039
2126408.0;94081DJ0124_01;1.0;1.0;1.0;8.824935183981945e-07;2.8584222854148075e-07;6.517105202394086e-07
2126418.0;94081DJ0135_01;1.0;2.0;1.0;8.172623126415664e-07;2.690287482551658e-07;6.210202146848752e-07
2126418.0;94081DJ0088_01;1.0;1.0;1.0;0.003808100753645188;0.0005691776223712759;0.00031999549985494596
2126418.0;94081DJ0088_02;1.0;1.0;1.0;5.113443142321407e-05;1.3195211277769185e-05;2.1542246182668172e-05
2126418.0;94081DJ0090_01;1.0;1.0;1.0;0.016360858766109335;0.0010358403274169422;0.0005528719756525569
2126418.0;94081DJ0092_01;1.0;1.0;2.1;0.018871333593132096;0.0010466347867517625;0.0008473879678382369
2126418.0;94081DJ0122_01;1.0;1.0;1.0;1.5586501752099871e-10;6.90379071748511e-11;2.3046514211481107e-10
2126418.0;94081DJ0123_01;1.0;1.0;1.0;0.013911695164566857;0.0010543237719793047;0.00033225561827043544
