ID_bati;Typologie;PK début;PK fin;Distance horizontale minimale à l'axe du tunnel;Distance horizontale maximale à l'axe du tunnel;PK début;PK fin;Distance horizontale minimale à l'axe du tunnel;Distance horizontale maximale à l'axe du tunnel;Classe de sensibilité;Classe de dommage;Vulnérablité;Settlement max;Tilt max;Esp h max;Classe de dommage base;Vulnérablité base;Settlement max base;Tilt max base;Esp h max base
94081CK0191_01;building;None;None;None;None;2150799.37198;2150812.81464;27.7952597633;39.8949703968;1.0;1.0;1.0;1.00838642234;0.166285441777;0.124306589392;1.0;1.0;1.00838642234;0.166285441777;0.124306589392
94081CJ0100_01;building;None;None;None;None;2150806.18571;2150847.15688;-68.27488254;-17.4409830549;2.0;1.0;1.0;4.6067595772;0.536095038707;0.168206381102;1.0;1.0;4.6067595772;0.536095038707;0.168206381102
94081CK0017_01;building;None;None;None;None;2150808.514;2150821.24072;-9.62066944161;3.24866046953;1.0;1.0;1.0;12.9601610964;0.638040101671;0.420133127427;1.0;1.0;12.9601610964;0.638040101671;0.420133127427
94081CK0175_01;building;None;None;None;None;2150817.63661;2150826.86537;-0.723323827165;8.28031401765;1.0;1.0;1.0;12.8453397293;0.600653679503;0.416410995462;1.0;1.0;12.8453397293;0.600653679503;0.416410995462
94081CK0016_01;building;None;None;None;None;2150827.08665;2150838.76217;7.90409211706;19.8025356909;1.0;1.0;1.0;10.0920267762;0.638781044307;0.187122790174;1.0;1.0;10.0920267762;0.638781044307;0.187122790174
94081CJ0048_01;building;None;None;None;None;2150838.18953;2150848.50578;-16.293088011;-7.53348880218;1.0;1.0;1.0;10.5793419558;0.656063630654;0.209089322475;1.0;1.0;10.5793419558;0.656063630654;0.209089322475
94081CK0015_02;building;None;None;None;None;2150837.27735;2150854.84931;6.04384369796;23.4414036067;1.0;1.0;1.0;11.0250841751;0.634272059726;0.267310113326;1.0;1.0;11.0250841751;0.634272059726;0.267310113326
94081CJ0049_01;building;None;None;None;None;2150843.85424;2150857.78927;-12.5836990092;0.318717743404;1.0;1.0;1.0;13.0279082908;0.653624672828;0.422206852097;1.0;1.0;13.0279082908;0.653624672828;0.422206852097
94081CK0014_01;building;None;None;None;None;2150850.01052;2150860.98386;16.6487806834;27.5378884823;1.0;1.0;1.0;4.73084625599;0.525399842264;0.169213439613;1.0;1.0;4.73084625599;0.525399842264;0.169213439613
94081CK0013_01;building;None;None;None;None;2150856.54273;2150867.45791;21.2887926267;32.0831358034;1.0;1.0;1.0;2.64315113285;0.35709544998;0.168033999706;1.0;1.0;2.64315113285;0.35709544998;0.168033999706
94081CJ0051_01;building;None;None;None;None;2150878.41398;2150894.96512;-32.400885874;-15.3520943842;1.0;1.0;1.0;5.74263314497;0.694639348428;0.217439974602;1.0;1.0;5.74263314497;0.694639348428;0.217439974602
94081CJ0074_01;building;None;None;None;None;2150876.44794;2150886.69684;10.3194557322;20.8732925632;1.0;1.0;1.0;8.60327603733;0.726206667838;0.188078514773;1.0;1.0;8.60327603733;0.726206667838;0.188078514773
94081CJ0052_01;building;None;None;None;None;2150888.29393;2150901.02099;-39.2114378748;-26.449413054;1.0;1.0;1.0;1.17234173919;0.19132535388;0.150055570476;1.0;1.0;1.17234173919;0.19132535388;0.150055570476
94081CJ0073_01;building;None;None;None;None;2150890.18734;2150899.37233;-5.02799051774;3.50092311159;1.0;1.0;1.0;14.6630369847;0.58103480422;0.515655818242;1.0;1.0;14.6630369847;0.58103480422;0.515655818242
94081CJ0053_01;building;None;None;None;None;2150894.28718;2150907.07685;-46.0604393378;-33.2984170831;1.0;1.0;1.0;0.318151016977;0.0624609387076;0.064058305774;1.0;1.0;0.318151016977;0.0624609387076;0.064058305774
94081CJ0054_01;building;None;None;None;None;2150898.73229;2150911.69203;-54.0591501097;-41.2613701116;1.0;1.0;1.0;0.0580142309898;0.0134020771883;0.0184993883078;1.0;1.0;0.0580142309898;0.0134020771883;0.0184993883078
94081CJ0072_01;building;None;None;None;None;2150898.93637;2150909.82929;-15.4163679201;-4.49599771371;1.0;1.0;1.0;13.7270797984;0.831763055691;0.405433555067;1.0;1.0;13.7270797984;0.831763055691;0.405433555067
94081CJ0076_01;building;None;None;None;None;2150891.40924;2150900.26266;18.2870132166;29.4505722624;1.0;1.0;1.0;3.77808253408;0.523951499735;0.209005202567;1.0;1.0;3.77808253408;0.523951499735;0.209005202567
94081CJ0055_01;building;None;None;None;None;2150903.76802;2150917.99397;-61.6807689189;-47.5981177873;1.0;1.0;1.0;0.0109022353973;0.00286641802484;0.00482345496737;1.0;1.0;0.0109022353973;0.00286641802484;0.00482345496737
94081CJ0071_01;building;None;None;None;None;2150904.41088;2150913.96647;-20.0038951869;-10.52252671;1.0;1.0;1.0;9.16916095257;0.833505854751;0.215802869097;1.0;1.0;9.16916095257;0.833505854751;0.215802869097
94081CJ0077_01;building;None;None;None;None;2150908.12202;2150917.38712;19.4179964609;26.927727577;1.0;1.0;1.0;3.43219950927;0.49200664375;0.255352368519;1.0;1.0;3.43219950927;0.49200664375;0.255352368519
