Codice Edificio;PK inizio;PK fine;Distanza minima dall'asse tracciato;Distanza massima dall'asse tracciato;Classe sensibilità;Classe di danno;Vulnerabilità;Settlement max;Tilt max;Esp h max;eps_0;Pressione al fronte;Blowup;k_peck;Classe di danno base;Vulnerabilità  base;Settlement max base;Tilt max base;Esp h max base
43;3047.788025;3090.470171;1.127315572;62.00364883;1.0;1.0;1.0;2.55231078322;0.136725865333;0.0887671840138;0.000696477372536;230.0;456.04;0.340492901355;1.0;1.0;2.55231078322;0.136725865333;0.0887671840138
44;3067.187215;3119.948646;28.3070027;75.35319583;1.0;1.0;1.0;0.199242687057;0.0340709425895;0.0315067672625;0.000892168262032;230.0;456.04;0.340909018814;1.0;1.0;0.199242687057;0.0340709425895;0.0315067672625
45;3090.012303;3102.145199;26.63528468;33.89738254;1.0;1.0;1.0;0.259977297274;0.0427113669419;0.0377715364141;0.000882787821336;230.0;448.72;0.340773718159;1.0;1.0;0.259977297274;0.0427113669419;0.0377715364141
46;3092.62333;3117.977207;7.006143634;27.88339902;1.0;1.0;1.0;2.39868659168;0.153410535538;0.0627359531883;0.000833055093899;230.0;448.72;0.340909018814;1.0;1.0;2.39868659168;0.153410535538;0.0627359531883
47;3081.165665;3144.162388;-29.36772338;11.25774586;1.0;1.0;1.0;3.72624070064;0.195859167758;0.13986634303;0.00103263754132;230.0;451.82;0.340909018814;1.0;1.0;3.72624070064;0.195859167758;0.13986634303
48;3115.633296;3145.988397;0.157271569;62.39463531;1.0;1.0;1.0;3.3343900397;0.175963928143;0.120196446724;0.00091695791971;220.0;443.66;0.340909018814;1.0;1.0;3.3343900397;0.175963928143;0.120196446724
49;3133.506634;3199.482686;13.44171576;72.4214638;1.0;1.0;1.0;2.26897837553;0.229399121203;0.0678332487518;0.00130048678835;180.0;439.09;0.340909018814;1.0;1.0;2.26897837553;0.229399121203;0.0678332487518
50;3158.346579;3233.590996;-70.88502266;13.42271028;1.0;1.0;1.0;5.98618549894;0.311565725294;0.259604280638;0.00170154284967;180.0;439.09;0.345182126099;1.0;1.0;5.98618549894;0.311565725294;0.259604280638
51;3215.565988;3259.36259;-46.44224581;6.677724931;1.0;1.0;1.0;1.31993147709;0.0769563284442;0.0590145914887;0.000335645087467;180.0;432.97;0.350805687279;1.0;1.0;1.31993147709;0.0769563284442;0.0590145914887
52;3198.228968;3298.893535;-5.851306179;57.36305476;1.0;1.0;1.0;2.61957149469;0.146470175417;0.100749036047;0.000717226447599;180.0;439.06;0.364750178525;1.0;1.0;2.61957149469;0.146470175417;0.100749036047
53;3253.374394;3288.950578;-33.2342179;4.757091136;1.0;1.0;1.0;1.57755686593;0.0994801766506;0.0692912621928;0.000351932848914;180.0;410.08;0.361214361037;1.0;1.0;1.57755686593;0.0994801766506;0.0692912621928
54;3280.198855;3294.63301;0.03400766;16.76519868;1.0;1.0;1.0;1.3923945297;0.0865606386237;0.0726773466751;0.000320555173854;170.0;383.98;0.361214361037;1.0;1.0;1.3923945297;0.0865606386237;0.0726773466751
55;3269.708544;3307.247633;-53.37657246;-25.88950059;1.0;1.0;1.0;0.0680481729671;0.0130670335448;0.0113638385014;0.000320125721516;170.0;385.3;0.364750178525;1.0;1.0;0.0680481729671;0.0130670335448;0.0113638385014
56;3294.536675;3305.190227;-20.92085879;-7.224470129;1.0;1.0;1.0;1.85951404897;0.156619652011;0.0519942592873;0.000586682979144;170.0;378.7;0.364750178525;1.0;1.0;1.85951404897;0.156619652011;0.0519942592873
57;3305.117293;3323.762411;-32.43788088;-1.479524663;1.0;1.0;1.0;1.54731060945;0.103413846927;0.0880612403268;0.000344386521893;170.0;366.43;0.372144987304;1.0;1.0;1.54731060945;0.103413846927;0.0880612403268
57A;3315.795123;3325.504718;-2.646695305;9.788847457;1.0;1.0;1.0;1.87415122454;0.124020081921;0.0836744801981;0.000414197942933;170.0;353.74;0.372144987304;1.0;1.0;1.87415122454;0.124020081921;0.0836744801981
58;3331.087126;3346.795454;-23.91006022;-15.37274215;1.0;1.0;1.0;0.402765201527;0.0647137677725;0.0295908974142;0.000346902303168;170.0;329.32;0.372144987304;1.0;1.0;0.402765201527;0.0647137677725;0.0295908974142
59;3295.503518;3380.664484;-48.19479278;39.59514193;1.0;1.0;1.0;2.77991615959;0.172291793298;0.152240746997;0.000645390710528;170.0;381.46;0.372144987304;1.0;1.0;2.77991615959;0.172291793298;0.152240746997
59A;3303.802463;3318.361807;-10.73654253;4.428051712;1.0;1.0;1.0;1.5844401097;0.104008230048;0.0837511728382;0.000341544399562;170.0;366.43;0.372144987304;1.0;1.0;1.5844401097;0.104008230048;0.0837511728382
60;3349.664135;3433.519101;-8.943156118;58.60775181;1.0;1.0;1.0;1.78098459084;0.107880571236;0.0724751836181;0.000422587922602;260.0;407.27;0.37597388118;1.0;1.0;1.78098459084;0.107880571236;0.0724751836181
60A;3381.788925;3416.501215;-21.47049888;5.284138996;1.0;1.0;1.0;2.00818979739;0.125650823681;0.0896887671518;0.000467669479177;260.0;407.27;0.367969590256;1.0;1.0;2.00818979739;0.125650823681;0.0896887671518
61;3397.525251;3440.002179;-58.66481944;-13.34911099;1.0;1.0;1.0;0.754765770341;0.093204995185;0.0326371717849;0.000450854247173;260.0;407.27;0.384453283311;1.0;1.0;0.754765770341;0.093204995185;0.0326371717849
62;3441.539878;3450.4515;-26.17372091;-18.72999172;1.0;1.0;1.0;0.338477468602;0.0489370931113;0.0287554382643;0.000400286301966;260.0;394.23;0.39286149499;1.0;1.0;0.338477468602;0.0489370931113;0.0287554382643
63;3396.520241;3455.364023;9.829087443;61.68643374;1.0;1.0;1.0;1.09119885918;0.107785360758;0.0323981888087;0.000440164838179;260.0;407.27;0.39286149499;1.0;1.0;1.09119885918;0.107785360758;0.0323981888087
64;3463.157101;3480.25012;18.82761903;27.75013105;1.0;1.0;1.0;0.270374507858;0.0433463516019;0.0250339872463;0.000357402752701;260.0;365.02;0.39286149499;1.0;1.0;0.270374507858;0.0433463516019;0.0250339872463
65;3472.026758;3517.201931;34.83779912;60.84701157;1.0;1.0;1.0;0.0108487720078;0.00255803343186;0.00360647830288;0.000327013218024;270.0;380.4;0.39286149499;1.0;1.0;0.0108487720078;0.00255803343186;0.00360647830288
66;3462.774486;3522.433987;-25.44506962;16.47957728;1.0;1.0;1.0;1.81984663742;0.116346563123;0.0803169571686;0.000409863273004;270.0;380.4;0.39286149499;1.0;1.0;1.81984663742;0.116346563123;0.0803169571686
66A;3445.977137;3461.227364;-20.32285595;-9.044109812;1.0;1.0;1.0;1.05166520401;0.116849622858;0.0267673814403;0.000394492671944;260.0;394.23;0.39286149499;1.0;1.0;1.05166520401;0.116849622858;0.0267673814403
66B;3440.52179;3477.93826;-15.98435369;9.924073467;1.0;1.0;1.0;1.85288503479;0.117885519218;0.0795948451312;0.000418275405912;260.0;394.23;0.39286149499;1.0;1.0;1.85288503479;0.117885519218;0.0795948451312
66C;3473.143042;3506.740806;-3.450110542;20.60732066;1.0;1.0;1.0;1.62259299144;0.103650543298;0.0771532988374;0.000375582426311;270.0;380.4;0.39286149499;1.0;1.0;1.62259299144;0.103650543298;0.0771532988374
66D;3506.740806;3525.669734;14.81570296;26.4811492;1.0;1.0;1.0;0.514162081218;0.0677605506122;0.025939617976;0.000370253575273;270.0;380.4;0.391680447313;1.0;1.0;0.514162081218;0.0677605506122;0.025939617976
66E;3517.471302;3546.684788;11.77593594;28.18034069;1.0;1.0;1.0;0.799907093954;0.092621174912;0.0248898061906;0.000413707847319;270.0;380.4;0.397356788265;1.0;1.0;0.799907093954;0.092621174912;0.0248898061906
67;3453.550702;3516.397004;-76.09309446;-18.54299962;1.0;1.0;1.0;0.309597278886;0.0466324875403;0.0255814121159;0.000372603260842;270.0;382.0;0.39286149499;1.0;1.0;0.309597278886;0.0466324875403;0.0255814121159
68;3507.107807;3574.495745;-71.02505349;17.36485236;1.0;1.0;1.0;1.46767039169;0.0952681756919;0.0833488554754;0.000367963586541;270.0;380.4;0.401168946492;1.0;1.0;1.46767039169;0.0952681756919;0.0833488554754
69;3548.080603;3604.487643;-3.331147314;33.52828413;1.0;1.0;1.0;1.48110591906;0.0986446117137;0.0765970058502;0.000357121232346;270.0;380.4;0.401168946492;1.0;1.0;1.48110591906;0.0986446117137;0.0765970058502
70;3567.297735;3607.880917;-39.11946828;4.677503532;1.0;1.0;1.0;1.55412472303;0.103778914751;0.0775367101562;0.000332474325121;250.0;355.76;0.401168946492;1.0;1.0;1.55412472303;0.103778914751;0.0775367101562
71;3599.690308;3646.396536;18.4659096;50.30753569;1.0;1.0;1.0;0.208537156547;0.0391977519937;0.0298369999011;0.000326504907128;230.0;310.92;0.401168946492;1.0;1.0;0.208537156547;0.0391977519937;0.0298369999011
72;3611.212306;3666.697532;2.372337846;30.83414719;1.0;1.0;1.0;1.39622577768;0.0967976278413;0.0662658165189;0.000312056459335;230.0;306.6;0.400191058991;1.0;1.0;1.39622577768;0.0967976278413;0.0662658165189
73;3654.062136;3672.405572;20.09985971;43.04786308;1.0;1.0;1.0;0.126584214781;0.0251171901034;0.0226937945728;0.000273259406104;200.0;305.92;0.39227825995;1.0;1.0;0.126584214781;0.0251171901034;0.0226937945728
74;3625.682938;3698.455092;-65.33378381;-7.965301587;1.0;1.0;1.0;2.45099721083;0.307701268863;0.104025851546;0.000794412061391;220.0;305.92;0.416794833538;1.0;1.0;2.45099721083;0.307701268863;0.104025851546
75;3682.602476;3737.602129;-57.60367676;1.280054053;1.0;3.0;3.0;30.173095951;2.66243402087;1.89027547282;0.00459365431291;200.0;303.82;0.443549022933;3.0;3.0;30.173095951;2.66243402087;1.89027547282
76_1;3712.567152;3735.643006;-2.04671885;13.81328547;1.0;3.0;3.0;52.8257063112;4.70081008193;3.27281947556;0.00797460046333;190.0;285.06;0.443549022933;3.0;3.0;52.8257063112;4.70081008193;3.27281947556
76_2;3716.528488;3747.91775;-13.948892;16.80867732;1.0;3.0;3.0;62.5369638833;5.15048808896;3.761521013;0.0104105829373;200.0;266.61;0.443549022933;3.0;3.0;69.8619979631;5.74390055456;4.1740012453
76B;3698.669067;3708.341102;6.196160261;18.53443824;1.0;1.0;1.0;2.27515398778;0.258330802824;0.0577232586353;0.000592769319605;200.0;295.54;0.416794833538;1.0;1.0;2.27515398778;0.258330802824;0.0577232586353
77;3722.905612;3765.487832;-36.01769577;-4.819236356;1.0;2.2;2.0;23.6358025973;2.59920529448;0.950635987337;0.00553297096939;200.0;266.61;0.443549022933;2.2;2.0;23.6358025973;2.59920529448;0.950635987337
78;3746.559559;3806.486263;6.966560683;47.35193385;1.0;3.0;3.0;28.2694062789;3.79792107409;1.03384132823;0.0077419371454;220.0;274.2;0.443549022933;3.0;3.0;33.494068395;4.25288739988;1.15768881779
79;3811.466698;3837.838697;21.53682448;56.29019235;1.0;1.0;1.0;2.08815590977;0.438211004394;0.408988179024;0.00617629838689;220.0;284.085;0.439533418705;1.0;1.0;2.24084871897;0.52342190707;0.563488050781
80;3798.28975;3826.180277;-24.85967044;-6.577932113;1.0;2.2;2.0;25.7357134372;2.66215044566;0.885293891703;0.00719235976823;230.0;274.2;0.439533418705;3.0;3.0;40.9729692701;4.15378020135;1.3813329918
81;3833.703146;3861.361179;-8.136467672;10.28919758;1.0;2.2;2.0;26.7651133301;1.80586187755;1.55159947328;0.00617455706524;270.0;331.85;0.439533418705;3.0;3.0;36.4271004681;2.47059254248;2.13899410117
82;3850.551303;3878.535908;-53.67183328;-24.38850962;1.0;1.0;1.0;2.6840211127;0.459315568243;0.355932526093;0.00779330535178;270.0;365.445;0.439533418705;1.0;1.0;2.6840211127;0.459315568243;0.355932526093
83;3874.709413;3903.534371;10.70136062;31.08271187;1.0;1.0;1.0;14.9838542058;1.44252104608;0.449738562449;0.00698572603988;270.0;383.415;0.438052419932;2.1;1.0;14.9838542058;1.8065338781;0.563227795923
84;3891.28269;3920.011524;-23.38389208;-3.24930821;1.0;2.1;1.0;23.3927429429;1.55774230574;0.815516130939;0.00647766686654;270.0;383.415;0.430808624063;2.1;1.0;29.3089438362;1.95170706837;1.02176630323
85;3909.931283;3947.058965;-10.42559593;44.00208576;1.0;2.1;1.0;24.508844428;1.41478840107;1.0635257698;0.0067498572958;270.0;383.415;0.426427665676;2.1;1.0;24.5700716455;1.4499665695;1.08260052785
86;3943.780598;3955.395316;-52.23236898;-23.87304551;1.0;1.0;1.0;3.13177690114;0.494314620152;0.378200462416;0.00752576070892;260.0;383.415;0.417943470563;1.0;1.0;3.13177690114;0.494314620152;0.378200462416
87;3984.852651;4028.717221;-32.57114966;17.34874551;1.0;2.1;1.0;22.4682654527;1.28974715344;1.07297711219;0.00598187947458;270.0;396.82;0.413028249642;2.1;1.0;22.4682654527;1.28974715344;1.07297711219
88;4014.287103;4058.115097;-62.92458165;-31.02060674;1.0;1.0;1.0;0.0562736156067;0.0113575291212;0.0127748269582;0.000555292446769;270.0;396.82;0.379583450584;1.0;1.0;0.0562736156067;0.0113575291212;0.0127748269582
89;4070.37792;4095.957541;-42.49579118;-13.84791299;1.0;1.0;1.0;0.223898164164;0.0298589661671;0.00900122173839;0.000145007405619;170.0;335.98;0.338021597323;1.0;1.0;0.223898164164;0.0298589661671;0.00900122173839
93;3694.673277;3714.445259;24.19854879;46.10225252;1.0;1.0;1.0;0.0912897641578;0.0271666559387;0.0389865098744;0.00113172389984;200.0;301.72;0.427702158939;1.0;1.0;0.0912897641578;0.0271666559387;0.0389865098744
92;3676.621232;3697.624357;11.62910387;56.42171829;1.0;1.0;1.0;1.50352764064;0.241265210289;0.0845240725276;0.000802168604763;200.0;303.82;0.407824548767;1.0;1.0;1.50352764064;0.241265210289;0.0845240725276
91;4094.873088;4125.4025;-40.3616432;31.09707551;1.0;1.0;1.0;0.577548980141;0.0351346593252;0.0246893560396;0.000134605483403;170.0;324.46;0.338021597323;1.0;1.0;0.577548980141;0.0351346593252;0.0246893560396
90;4056.815382;4115.544225;2.840994953;49.13571603;1.0;1.0;1.0;0.635591517027;0.0397716525633;0.0306934015987;0.000161035448934;170.0;350.14;0.338021597323;1.0;1.0;0.635591517027;0.0397716525633;0.0306934015987
2;1955.365508;2006.583129;-44.92247101;-14.6994706;1.0;1.0;1.0;0.180573933996;0.0369748169194;0.0193934429212;0.000183630662284;170.0;251.92;0.374196220371;1.0;1.0;0.180573933996;0.0369748169194;0.0193934429212
